id,name,state,zipcode,USNewsRank
604,Pacific Union College,CA,94508,
605,Drew Univ.,NJ,07940-,
606,Benedictine College (KS),KS,66002,
607,Westminster College-Pennsylvania,PA,16172-,
608,Marshall Univ.,WV,25701-,
609,South Alabama-Univ. of,AL,36688-,
610,Hartwick College,NY,13820,
611,Evansville-Univ. of ,IN,47722,
612,Andrews Univ.,MI,49104,
613,Baylor Univ.,TX,76798,
614,Albright College,PA,19612-,
615,Goucher College,MD,21204-,
616,Armstrong Atlantic State Univ.,GA,31419-,
617,Southern Arkansas Univ.,AR,71753-,
618,Transylvania Univ.,KY,40508-,
619,Butler Univ.,IN,46208-,
620,Northeastern Illinois Univ.,IL,60625-,
621,Missouri Southern State College,MO,64801-,
622,Stern Coll. for Women   Yeshiva Univ.,NY,10033,
623,Cedarville College,OH,45314,
624,Harding Univ.,AR,72143,
625,Colorado Mesa Univ.,CO,81501,
626,Hawaii-Univ. of   Hilo,HI,96720,
627,Wheeling Jesuit Univ,WV,26003,
628,Christian Brothers Univ.,TN,38104-,
629,Covenant College,GA,30750-,
630,High Point Univ.,NC,27262,
631,Texas Lutheran Univ,TX,78155,
632,Georgetown College,KY,40324-,
633,Cumberlands-Univ. of the ,KY,40769-,
634,Simmons College,MA,2115,
635,Trevecca Nazarene Univ,TN,37210,
636,Texas Christian Univ.,TX,76129,
637,Benedict College,SC,29204-,
638,Georgetown College (KY),KY,40324-,
639,Lawrence Institute Of Technology,MI,48075-,
640,Saint Peters Univ. (NJ),NJ,07306-,
641,Saint Peters Univ.,NJ,07306-,
642,Long Island Univ.,NY,11746-,
643,Mansfield Univ.,PA,16933-,
644,Norfolk State Univ.,VA,23504-,
645,Michigan-Univ. of   Flint,MI,48502-,
646,Saginaw Valley State Univ.,MI,48710-,
647,North Dakota State Univ.,ND,58105-,
648,Cal State Univ.- Bakersfield,CA,93311-,
649,Southern Maine-Univ. of,ME,4104,
650,Penn State Univ.   Erie (Behrend Coll.),PA,16563,
651,Bob Jones Univ.,SC,29614,
